Subject,Date,ExpCode,IsGood,NTrials,NEVDir,NEVFName,NS2FName,PTBFName,EDFName,NCentreOut,NCueColour,NDiagonal
JerryLee,2009-07-16,sra3_2,1,1947,090716,datafile004.nev,datafile004.ns2,sra3_2_j_066_00+01.ptbmat,sra3_2_j_066_00+01_1.edf,0,0,1947
JerryLee,2009-07-17,sra3_1,1,192,090717,datafile003.nev,datafile003.ns2,sra3_1_j_067_00+01.ptbmat,sra3_1_j_067_00+01_1.edf,192,0,0
JerryLee,2009-07-17,sra3_2,1,1800,090717,datafile004.nev,datafile004.ns2,sra3_2_j_067_00+01.ptbmat,sra3_2_j_067_00+01_1.edf,0,0,1800
Marty,2009-07-07,sra3_1,1,129,090707,datafile002.nev,none,sra3_1_m_033_00+.ptbmat,sra3_1_m_033_00+_xxx.edf,129,0,0
Marty,2009-07-07,sra3_1,1,254,090707,datafile004.nev,none,sra3_1_m_033_00+xxx.ptbmat,,254,0,0
Marty,2009-07-07,sra3_1,1,2,090707,datafile005.nev,none,sra3_1_m_034_00+.ptbmat,sra3_1_m_034_00+03_1.edf,0,2,0
Marty,2009-07-07,sra3_1,1,948,090707,datafile007.nev,none,sra3_1_m_034_00+03.ptbmat,sra3_1_m_034_00+03_1.edf,0,948,0
Marty,2009-07-08,sra3_1,1,141,090708,datafile002.nev,none,sra3_1_m_035_00+02.ptbmat,sra3_1_m_035_00+02_1.edf,141,0,0
Marty,2009-07-08,sra3_1,1,231,090708,datafile003.nev,none,sra3_1_m_035_00+03.ptbmat,sra3_1_m_035_00+03_1.edf,231,0,0
Marty,2009-07-08,sra3_1,1,1584,090708,datafile004.nev,none,sra3_1_m_035_00+04.ptbmat,sra3_1_m_035_00+04_1.edf,0,1584,0
Marty,2009-07-10,sra3_1,1,257,090710,datafile001.nev,none,sra3_1_m_037_00+01.ptbmat,sra3_1_m_037_00+01_1.edf,257,0,0
Marty,2009-07-10,sra3_1,1,1256,090710,datafile002.nev,none,sra3_1_m_037_00+02.ptbmat,sra3_1_m_037_00+02_1.edf,0,1256,0
Marty,2009-07-11,sra3_1,1,239,090711,datafile001.nev,none,sra3_1_m_038_00+02.ptbmat,sra3_1_m_038_00+02_1.edf,239,0,0
Marty,2009-07-11,sra3_1,1,1750,090711,datafile002.nev,none,sra3_1_m_038_00+03.ptbmat,sra3_1_m_038_00+03_1.edf,0,1750,0
Marty,2009-07-12,sra3_1,1,184,090712,datafile001.nev,none,sra3_1_m_039_00+01.ptbmat,sra3_1_m_039_00+01_1.edf,184,0,0
Marty,2009-07-12,sra3_1,1,1566,090712,datafile002.nev,none,sra3_1_m_039_00+02.ptbmat,sra3_1_m_039_00+02_1.edf,0,1566,0
Marty,2009-07-13,sra3_1,1,3,090713,datafile001.nev,none,sra3_1_m_040_00+01.ptbmat,sra3_1_m_040_00+01_1.edf,3,0,0
Marty,2009-07-13,sra3_1,1,228,090713,datafile002.nev,none,sra3_1_m_040_00+02.ptbmat,sra3_1_m_040_00+02_1.edf,228,0,0
Marty,2009-07-13,sra3_1,1,1381,090713,datafile003.nev,none,sra3_1_m_040_00+03.ptbmat,sra3_1_m_040_00+03_1.edf,0,1381,0
Marty,2009-07-14,sra3_1,1,304,090714,datafile001.nev,none,sra3_1_m_041_00+01.ptbmat,sra3_1_m_041_00+01_1.edf,304,0,0
Marty,2009-07-14,sra3_1,1,20,090714,datafile002.nev,none,sra3_1_m_041_00+02.ptbmat,sra3_1_m_041_00+02_1.edf,0,20,0
Marty,2009-07-14,sra3_1,1,1299,090714,datafile003.nev,none,sra3_1_m_041_00+03.ptbmat,sra3_1_m_041_00+03_1.edf,0,1299,0
Marty,2009-07-15,sra3_1,1,120,090715,datafile001.nev,none,sra3_1_m_042_00+01.ptbmat,sra3_1_m_042_00+01_1.edf,120,0,0
Marty,2009-07-15,sra3_1,1,121,090715,datafile002.nev,none,sra3_1_m_042_00+02.ptbmat,sra3_1_m_042_00+02_1.edf,121,0,0
Marty,2009-07-15,sra3_1,1,17,090715,datafile004.nev,none,sra3_1_m_042_00+03.ptbmat,sra3_1_m_042_00+03_1.edf,0,17,0
Marty,2009-07-15,sra3_1,1,2000,090715,datafile005.nev,none,sra3_1_m_042_00+04.ptbmat,sra3_1_m_042_00+04_1.edf,0,2000,0
Marty,2009-07-16,sra3_1,1,328,090716,datafile001.nev,none,sra3_1_m_043_00+01.ptbmat,sra3_1_m_043_00+01_1.edf,328,0,0
Marty,2009-07-16,sra3_1,1,1088,090716,datafile002.nev,none,sra3_1_m_043_00+02.ptbmat,sra3_1_m_043_00+02_1.edf,0,1088,0
Marty,2009-07-17,sra3_1,1,186,090717,datafile001.nev,none,sra3_1_m_044_00+01.ptbmat,sra3_1_m_044_00+01_1.edf,186,0,0
Marty,2009-07-17,sra3_1,1,1450,090717,datafile002.nev,none,sra3_1_m_044_00+02.ptbmat,sra3_1_m_044_00+02_1.edf,0,1450,0
Marty,2009-07-18,sra3_1,1,190,090718,datafile001.nev,none,sra3_1_m_045_00+03.ptbmat,sra3_1_m_045_00+03_1.edf,190,0,0
Marty,2009-07-18,sra3_1,1,2000,090718,datafile002.nev,none,sra3_1_m_045_00+04.ptbmat,sra3_1_m_045_00+04_1.edf,0,2000,0
Marty,2009-07-20,sra3_1,1,296,090720,datafile001.nev,none,sra3_1_m_047_00+01.ptbmat,sra3_1_m_047_00+01_1.edf,296,0,0
Marty,2009-07-20,sra3_1,1,311,090720,datafile002.nev,none,sra3_1_m_047_00+02.ptbmat,sra3_1_m_047_00+02_1.edf,0,311,0
Marty,2009-07-20,sra3_1,1,575,090720,datafile003.nev,none,sra3_1_m_047_00+03.ptbmat,sra3_1_m_047_00+03_1.edf,68,507,0
Marty,2009-07-21,sra3_1,1,1,090721,datafile001.nev,none,sra3_1_m_048_00+01.ptbmat,sra3_1_m_048_00+01.edf,1,0,0
Marty,2009-07-21,sra3_1,1,184,090721,datafile002.nev,none,sra3_1_m_048_00+02.ptbmat,sra3_1_m_048_00+02_1.edf,184,0,0
Marty,2009-07-21,sra3_1,1,107,090721,datafile003.nev,none,sra3_1_m_048_00+03.ptbmat,sra3_1_m_048_00+03_1.edf,107,0,0
Marty,2009-07-21,sra3_1,1,1677,090721,datafile004.nev,none,sra3_1_m_048_00+04.ptbmat,sra3_1_m_048_00+04_1.edf,0,1677,0
Marty,2009-07-22,sra3_1,1,205,090722,datafile001.nev,none,sra3_1_m_049_00+01.ptbmat,sra3_1_m_049_00+01_1.edf,205,0,0
Marty,2009-07-22,sra3_1,1,1950,090722,datafile002.nev,none,sra3_1_m_049_00+02.ptbmat,sra3_1_m_049_00+02_1.edf,0,1950,0
Marty,2009-07-23,sra3_1,1,1,090723,datafile001.nev,none,sra3_1_m_050_00+01.ptbmat,sra3_1_m_050_00+01_1.edf,1,0,0
Marty,2009-07-23,sra3_1,1,1,090723,datafile002.nev,none,sra3_1_m_050_00+01.ptbmat,sra3_1_m_050_00+01_1.edf,1,0,0
Marty,2009-07-23,sra3_1,1,208,090723,datafile003.nev,none,sra3_1_m_050_00+02.ptbmat,sra3_1_m_050_00+02_1.edf,208,0,0
Marty,2009-07-23,sra3_1,1,1551,090723,datafile004.nev,none,sra3_1_m_050_00+03.ptbmat,sra3_1_m_050_00+03_1.edf,0,1551,0
Marty,2009-07-24,sra3_1,1,200,090724,datafile001.nev,none,sra3_1_m_051_00+01.ptbmat,sra3_1_m_051_00+01_1.edf,200,0,0
Marty,2009-07-24,sra3_1,1,1472,090724,datafile002.nev,none,sra3_1_m_051_00+02.ptbmat,sra3_1_m_051_00+02_1.edf,0,1472,0
Marty,2009-07-25,sra3_1,1,211,090725,datafile001.nev,none,sra3_1_m_052_00+02.ptbmat,sra3_1_m_052_00+02_1.edf,211,0,0
Marty,2009-07-25,sra3_1,1,6,090725,datafile002.nev,none,sra3_1_m_052_00+03.ptbmat,sra3_1_m_052_00+03_1.edf,0,6,0
Marty,2009-07-25,sra3_1,1,1298,090725,datafile003.nev,none,sra3_1_m_052_00+04.ptbmat,sra3_1_m_052_00+04_1.edf,0,1298,0
Marty,2009-07-26,sra3_1,1,203,090726,datafile001.nev,none,sra3_1_m_053_00+01.ptbmat,sra3_1_m_053_00+01_1.edf,203,0,0
Marty,2009-07-26,sra3_1,1,1079,090726,datafile002.nev,none,sra3_1_m_053_00+02.ptbmat,sra3_1_m_053_00+02_1.edf,0,1079,0
Marty,2009-07-30,sra3_1,1,191,090730,datafile001.nev,none,sra3_1_m_056_00+01.ptbmat,sra3_1_m_056_00+01_1.edf,191,0,0
Marty,2009-07-30,sra3_1,1,1805,090730,datafile002.nev,none,sra3_1_m_056_00+02.ptbmat,sra3_1_m_056_00+02_1.edf,0,1805,0
Marty,2009-07-31,sra3_1,1,189,090731,datafile001.nev,none,sra3_1_m_057_00+01.ptbmat,sra3_1_m_057_00+01_1.edf,189,0,0
Marty,2009-07-31,sra3_1,1,1420,090731,datafile002.nev,none,sra3_1_m_057_00+02.ptbmat,sra3_1_m_057_00+02_1.edf,0,1420,0
Marty,2009-08-06,sra3_1,1,801,090806,datafile001.nev,none,sra3_1_m_058_00+01.ptbmat,sra3_1_m_058_00+01_1.edf,0,801,0
Marty,2009-07-19,sra3_1,1,198,090807,datafile001.nev,none,sra3_1_m_046_00+01.ptbmat,sra3_1_m_046_00+01_1.edf,198,0,0
Marty,2009-07-19,sra3_1,1,1933,090807,datafile002.nev,none,sra3_1_m_046_00+02.ptbmat,sra3_1_m_046_00+02_1.edf,0,1933,0
Marty,2009-08-08,sra3_1,1,1,090808,datafile001.nev,none,sra3_1_m_060_00+01.ptbmat,sra3_1_m_060_00+01_1.edf,0,1,0
Marty,2009-08-08,sra3_1,1,1,090808,datafile002.nev,none,sra3_1_m_060_00+02.ptbmat,sra3_1_m_060_00+02_1.edf,0,1,0
Marty,2009-08-08,sra3_1,1,75,090808,datafile003.nev,none,sra3_1_m_060_00+03.ptbmat,sra3_1_m_060_00+03_1.edf,0,75,0
Marty,2009-08-08,sra3_1,1,1000,090808,datafile004.nev,none,sra3_1_m_060_00+04.ptbmat,sra3_1_m_060_00+04_1.edf,76,924,0
Marty,2009-08-09,sra3_1,1,1000,090809,datafile001.nev,none,sra3_1_m_061_00+01.ptbmat,sra3_1_m_061_00+01_1.edf,16,984,0
Marty,2009-08-14,sra3_1,1,11,090814,datafile001.nev,none,sra3_1_m_065_00+01.ptbmat,sra3_1_m_065_00+01_1.edf,0,11,0
Marty,2009-08-14,sra3_1,1,6,090814,datafile002.nev,none,sra3_1_m_065_00+02.ptbmat,sra3_1_m_065_00+02_1.edf,0,6,0
Marty,2009-08-14,sra3_1,1,1502,090814,datafile003.nev,none,sra3_1_m_065_00+03.ptbmat,sra3_1_m_065_00+03_1.edf,219,1283,0
Marty,2009-08-18,sra3_1,1,551,090818,datafile003.nev,datafile003.ns2,sra3_1_m_066_00+01.ptbmat,sra3_1_m_066_00+01_1.edf,0,551,0
Marty,2009-08-18,sra3_1,1,458,090818,datafile004.nev,datafile004.ns2,sra3_1_m_067_00+01.ptbmat,sra3_1_m_067_00+01_1.edf,295,163,0
Marty,2009-08-19,sra3_1,1,848,090819,datafile001.nev,datafile001.ns2,sra3_1_m_068_00+01.ptbmat,sra3_1_m_068_00+01_1.edf,82,766,0
Marty,2009-08-19,sra3_1,1,4,090819,datafile002.nev,datafile002.ns2,sra3_1_m_068_00+02.ptbmat,sra3_1_m_068_00+02_5.edf,4,0,0
Marty,2009-09-02,sra3_1,1,1351,090902,datafile001.nev,datafile001.ns2,sra3_1_m_069_00+01.ptbmat,sra3_1_m_069_00+01_1.edf,356,995,0
Marty,2009-09-08,sra3_1,1,1864,090908,datafile001.nev,datafile001.ns2,sra3_1_m_070_00+02.ptbmat,sra3_1_m_070_00+02_1.edf,615,1249,0
Marty,2009-09-11,sra3_1,1,1361,090911,datafile001.nev,datafile001.ns2,sra3_1_m_072_00+01.ptbmat,sra3_1_m_072_00+01_1.edf,8,1353,0
Marty,2009-09-11,sra3_1,1,260,090911,datafile003.nev,datafile003.ns2,sra3_1_m_072_00+02.ptbmat,sra3_1_m_072_00+02_1.edf,260,0,0
Marty,2009-09-13,sra3_1,1,1751,090913,datafile001.nev,datafile001.ns2,sra3_1_m_073_00+01.ptbmat,sra3_1_m_073_00+01_1.edf,321,1430,0
Marty,2009-09-14,sra3_1,1,1509,090914,datafile001.nev,datafile001.ns2,sra3_1_m_074_00+01.ptbmat,sra3_1_m_074_00+01_1.edf,358,1151,0
Marty,2009-09-15,sra3_1,1,2092,090915,datafile001.nev,datafile001.ns2,sra3_1_m_075_00+01.ptbmat,sra3_1_m_075_00+01_1.edf,435,1657,0
Marty,2009-09-18,sra3_1,1,1686,090918,datafile001.nev,datafile001.ns2,sra3_1_m_076_00+01.ptbmat,sra3_1_m_076_00+01_1.edf,337,1349,0
Marty,2009-09-19,sra3_1,1,1832,090919,datafile001.nev,datafile001.ns2,sra3_1_m_077_00+01.ptbmat,sra3_1_m_077_00+01_1.edf,443,1389,0
Marty,2009-09-20,sra3_1,1,1597,090920,datafile001.nev,datafile001.ns2,sra3_1_m_078_00+01.ptbmat,sra3_1_m_078_00+01_1.edf,446,1151,0
Marty,2009-09-21,sra3_1,1,1701,090921,datafile001.nev,datafile001.ns2,sra3_1_m_079_00+01.ptbmat,sra3_1_m_079_00+01_1.edf,402,1299,0
Marty,2009-09-22,sra3_1,1,2052,090922,datafile001.nev,datafile001.ns2,sra3_1_m_080_00+01.ptbmat,sra3_1_m_080_00+01_1.edf,418,1634,0
Marty,2009-09-25,sra3_1,1,1941,090925,datafile001.nev,datafile001.ns2,sra3_1_m_081_00+01.ptbmat,sra3_1_m_081_00+01_1.edf,390,1551,0
Marty,2009-09-26,sra3_1,1,2011,090926,datafile001.nev,datafile001.ns2,sra3_1_m_082_00+01.ptbmat,sra3_1_m_082_00+01_1.edf,362,1649,0
Marty,2009-09-27,sra3_1,1,1829,090927,datafile001.nev,datafile001.ns2,sra3_1_m_083_00+01.ptbmat,sra3_1_m_083_00+01_1.edf,330,1499,0
Marty,2009-09-28,sra3_1,1,1950,090928,datafile001.nev,datafile001.ns2,sra3_1_m_084_00+01.ptbmat,sra3_1_m_084_00+01_1.edf,348,1602,0
Marty,2009-09-29,sra3_1,1,1952,090929,datafile001.nev,datafile001.ns2,sra3_1_m_085_00+01.ptbmat,sra3_1_m_085_00+01_1.edf,401,1551,0
Marty,2009-10-04,sra3_2,1,151,091004,datafile001.nev,datafile001.ns2,sra3_2_m_087_00+01.ptbmat,sra3_2_m_087_00+01_1.edf,0,2,149
Marty,2009-10-04,sra3_2,1,3,091004,datafile002.nev,datafile002.ns2,sra3_2_m_087_00+02.ptbmat,sra3_2_m_087_00+02_1.edf,0,0,3
Marty,2009-10-04,sra3_2,1,1106,091004,datafile003.nev,datafile003.ns2,sra3_2_m_087_00+03.ptbmat,sra3_2_m_087_00+03_1.edf,0,10,1096
Marty,2009-10-04,sra3_2,1,580,091004,datafile004.nev,datafile004.ns2,sra3_2_m_087_00+04.ptbmat,sra3_2_m_087_00+04_1.edf,0,0,580
Marty,2009-10-04,sra3_1,1,367,091004,datafile005.nev,datafile005.ns2,sra3_1_m_087_00+01.ptbmat,sra3_1_m_087_00+01_1.edf,367,0,0
Marty,2009-10-05,sra3_2,1,1250,091005,datafile001.nev,datafile001.ns2,sra3_2_m_088_00+02.ptbmat,sra3_2_m_088_00+02_1.edf,0,3,1247
Marty,2009-10-05,sra3_1,1,468,091005,datafile002.nev,datafile002.ns2,sra3_1_m_088_00+01.ptbmat,sra3_1_m_088_00+01_1.edf,467,1,0
Marty,2009-10-06,sra3_2,1,1552,091006,datafile001.nev,datafile001.ns2,sra3_2_m_089_00+01.ptbmat,sra3_2_m_089_00+01_1.edf,0,0,1552
Marty,2009-10-06,sra3_1,1,405,091006,datafile002.nev,datafile002.ns2,sra3_1_m_089_00+01.ptbmat,sra3_1_m_089_00+01_1.edf,405,0,0
Marty,2009-10-09,sra3_2,1,1450,091009,datafile001.nev,datafile001.ns2,sra3_2_m_090_00+01.ptbmat,sra3_2_m_090_00+01_1.edf,0,0,1450
Marty,2009-10-09,sra3_1,1,3,091009,datafile002.nev,datafile002.ns2,sra3_1_m_090_00+01.ptbmat,sra3_1_m_090_00+01_1.edf,3,0,0
Marty,2009-10-09,sra3_1,1,580,091009,datafile003.nev,datafile003.ns2,sra3_1_m_090_00+02.ptbmat,sra3_1_m_090_00+02_1.edf,580,0,0
Marty,2009-10-10,sra3_2,1,352,091010,datafile001.nev,datafile001.ns2,sra3_2_m_091_00+02.ptbmat,sra3_2_m_091_00+02_1.edf,0,1,351
Marty,2009-10-11,sra3_2,1,16,091011,datafile002.nev,datafile002.ns2,sra3_2_m_092_00+01.ptbmat,sra3_2_m_092_00+01_1.edf,0,0,16
Marty,2009-10-11,sra3_2,1,9,091011,datafile003.nev,datafile003.ns2,sra3_2_m_085_00+01.ptbmat,sra3_2_m_085_00+01_1.edf,0,0,9
Marty,2009-10-11,sra3_2,1,22,091011,datafile004.nev,datafile004.ns2,sra3_2_m_092_00+02.ptbmat,sra3_2_m_092_00+02_1.edf,0,0,22
Marty,2009-10-11,sra3_2,1,3,091011,datafile005.nev,datafile005.ns2,sra3_2_m_092_00+03.ptbmat,sra3_2_m_092_00+03_1.edf,0,0,3
Marty,2009-10-11,sra3_2,1,1250,091011,datafile006.nev,datafile006.ns2,sra3_2_m_092_00+04.ptbmat,sra3_2_m_092_00+04_1.edf,0,0,1250
Marty,2009-10-11,sra3_1,1,638,091011,datafile007.nev,datafile007.ns2,sra3_1_m_092_00+01.ptbmat,sra3_1_m_092_00+01_1.edf,638,0,0
Marty,2009-10-12,sra3_2,1,1317,091012,datafile002.nev,datafile002.ns2,sra3_2_m_093_00+02.ptbmat,sra3_2_m_093_00+02_1.edf,0,0,1317
Marty,2009-10-12,sra3_1,1,484,091012,datafile003.nev,datafile003.ns2,sra3_1_m_093_00+01.ptbmat,sra3_1_m_093_00+01_1.edf,484,0,0
Marty,2009-10-16,sra3_2,1,8,091016,datafile001.nev,datafile001.ns2,sra3_2_m_094_00+03.ptbmat,sra3_2_m_094_00+03_1.edf,0,0,8
Marty,2009-10-16,sra3_2,1,1200,091016,datafile002.nev,datafile002.ns2,sra3_2_m_094_00+04.ptbmat,sra3_2_m_094_00+04_1.edf,0,1,1199
Marty,2009-10-16,sra3_1,1,502,091016,datafile003.nev,datafile003.ns2,sra3_1_m_094_00+01.ptbmat,sra3_1_m_094_00+01_1.edf,502,0,0
Marty,2009-10-17,sra3_2,1,1050,091017,datafile001.nev,datafile001.ns2,sra3_2_m_095_00+01.ptbmat,sra3_2_m_095_00+01_1.edf,0,5,1045
Marty,2009-10-17,sra3_1,1,531,091017,datafile002.nev,datafile002.ns2,sra3_1_m_095_00+01.ptbmat,sra3_1_m_095_00+01_1.edf,531,0,0
Marty,2009-10-18,sra3_2,1,1016,091018,datafile001.nev,datafile001.ns2,sra3_2_m_096_00+01.ptbmat,sra3_2_m_096_00+01_1.edf,0,4,1012
Marty,2009-10-18,sra3_1,1,453,091018,datafile002.nev,datafile002.ns2,sra3_1_m_096_00+01.ptbmat,sra3_1_m_096_00+01_1.edf,453,0,0
Marty,2009-10-25,sra3_2,1,1054,091025,datafile001.nev,datafile001.ns2,sra3_2_m_098_00+01.ptbmat,sra3_2_m_098_00+01_1.edf,0,0,1054
Marty,2009-10-25,sra3_1,1,452,091025,datafile002.nev,datafile002.ns2,sra3_1_m_098_00+01.ptbmat,sra3_1_m_098_00+01_1.edf,452,0,0
Marty,2009-10-26,sra3_2,1,650,091026,datafile001.nev,datafile001.ns2,sra3_2_m_099_00+01.ptbmat,sra3_2_m_099_00+01_1.edf,0,0,650
Marty,2009-10-26,sra3_1,1,418,091026,datafile002.nev,datafile002.ns2,sra3_1_m_099_00+01.ptbmat,sra3_1_m_099_00+01_1.edf,418,0,0
Marty,2009-10-26,sra3_1,1,122,091026,datafile003.nev,datafile003.ns2,sra3_1_m_099_00+02.ptbmat,sra3_1_m_099_00+02_1.edf,122,0,0
Marty,2009-10-27,sra3_2,1,1554,091027,datafile001.nev,datafile001.ns2,sra3_2_m_100_00+01.ptbmat,sra3_2_m_100_00+01_1.edf,0,0,1554
Marty,2009-10-27,sra3_1,1,402,091027,datafile002.nev,datafile002.ns2,sra3_1_m_100_00+01.ptbmat,sra3_1_m_100_00+01_1.edf,402,0,0
Marty,2009-10-30,sra3_2,1,1139,091030,datafile001.nev,datafile001.ns2,sra3_2_m_101_00+05.ptbmat,sra3_2_m_101_00+05_1.edf,0,1,1138
Marty,2009-10-30,sra3_1,1,504,091030,datafile002.nev,datafile002.ns2,sra3_1_m_101_00+01.ptbmat,sra3_1_m_101_00+01_1.edf,504,0,0
Marty,2009-10-31,sra3_2,1,1278,091031,datafile001.nev,datafile001.ns2,sra3_2_m_102_00+01.ptbmat,sra3_2_m_102_00+01_1.edf,0,0,1278
Marty,2009-10-31,sra3_1,1,425,091031,datafile002.nev,datafile002.ns2,sra3_1_m_102_00+01.ptbmat,sra3_1_m_102_00+01_1.edf,425,0,0
Marty,2009-11-01,sra3_2,1,1095,091101,datafile001.nev,datafile001.ns2,sra3_2_m_103_00+01.ptbmat,sra3_2_m_103_00+01_1.edf,0,0,1095
Marty,2009-11-01,sra3_1,1,418,091101,datafile002.nev,datafile002.ns2,sra3_1_m_103_00+01.ptbmat,sra3_1_m_103_00+01_1.edf,418,0,0
Marty,2009-11-03,sra3_2,1,1304,091103,datafile001.nev,datafile001.ns2,sra3_2_m_104_00+01.ptbmat,sra3_2_m_104_00+01_1.edf,0,0,1304
Marty,2009-11-03,sra3_1,1,401,091103,datafile002.nev,datafile002.ns2,sra3_1_m_104_00+01.ptbmat,sra3_1_m_104_00+01_1.edf,401,0,0
Marty,2009-11-06,sra3_2,1,1200,091106,datafile001.nev,datafile001.ns2,sra3_2_m_105_00+01.ptbmat,sra3_2_m_105_00+01_1.edf,0,1,1199
Marty,2009-11-06,sra3_1,1,394,091106,datafile002.nev,datafile002.ns2,sra3_1_m_105_00+01.ptbmat,sra3_1_m_105_00+01_1.edf,394,0,0
Marty,2009-11-07,sra3_2,1,900,091107,datafile001.nev,datafile001.ns2,sra3_2_m_106_00+01.ptbmat,sra3_2_m_106_00+01_1.edf,0,0,900
Marty,2009-11-07,sra3_1,1,501,091107,datafile002.nev,datafile002.ns2,sra3_1_m_106_00+01.ptbmat,sra3_1_m_106_00+01_1.edf,501,0,0
